metric_class,statistic,value,unit,source_scope
order_latency_submit_ack,p50,561.9286039999984,ms,SIMULATE gateway
order_latency_submit_ack,p95,1238.717391549994,ms,SIMULATE gateway
order_latency_submit_ack,max,1863.633875000005,ms,SIMULATE gateway
order_latency_submit_ack,n,74,count,SIMULATE gateway
slippage_vs_mid,p50,-0.1588158688832797,bps(+worse),SIMULATE engine
slippage_vs_touch,p50,-0.7940289026531396,bps(+worse),SIMULATE engine
fill_rate,full_fill_rate,0.975,ratio,SIMULATE engine
reject_rate,reject_rate,0.0,ratio,SIMULATE gateway
disconnects,total,0,count,SIMULATE session
position_deviation,worst_n_diffs,0,count,engine vs broker
position_deviation,all_in_sync,True,bool,engine vs broker
inventory,in_session_slots,4,count,collected
inventory,in_session_slots_needed,5,count,target
