metric_class,statistic,value,unit,source_scope
order_latency_submit_ack,p50,560.280459,ms,SIMULATE gateway
order_latency_submit_ack,p95,1159.9200415999967,ms,SIMULATE gateway
order_latency_submit_ack,max,1863.633875000005,ms,SIMULATE gateway
order_latency_submit_ack,n,85,count,SIMULATE gateway
slippage_vs_mid,p50,-0.1587477973759718,bps(+worse),SIMULATE engine
slippage_vs_touch,p50,-0.6347594261787055,bps(+worse),SIMULATE engine
fill_rate,full_fill_rate,0.96,ratio,SIMULATE engine
reject_rate,reject_rate(all_submitted),0.0,ratio,SIMULATE gateway
reject_rate,submitted,85,count,buys+closeouts+order_path
disconnects,total,0,count,SIMULATE session
position_deviation,worst_n_diffs,0,count,engine vs broker
position_deviation,all_in_sync,True,bool,engine vs broker
fill_latency_pooled_s,p50,8.06359601020813,s,SIMULATE engine (pooled n)
fill_latency_pooled_s,p95,25.740094470977766,s,SIMULATE engine (pooled n)
fill_latency_pooled_s,n,53,count,SIMULATE engine (pooled)
inventory,in_session_slots,5,count,collected
inventory,distinct_session_trading_days,3,count,ET
